page,kind,flow_id,note
src/app/dashboard/hr/recruitment/forms/page.tsx,redirect,recruitment,/dashboard/settings?department=pessoal&tab=recruitment
src/app/dashboard/hr/recruitment/integration/clinics/page.tsx,redirect,registry,/dashboard/registration/entities
src/app/dashboard/hr/recruitment/integration/page.tsx,active,hr-integration,
src/app/dashboard/hr/recruitment/page.tsx,active,recruitment,Em produção exibe tela de construção
src/app/dashboard/hr/recruitment/talents/page.tsx,active,recruitment,
src/app/dashboard/import/page.tsx,inactive,,
src/app/dashboard/inventory/page.tsx,active,inventory-conversion,
src/app/dashboard/inventory-control/page.tsx,active,stock-control,
src/app/dashboard/items/page.tsx,inactive,,
src/app/dashboard/manager-diary/[logId]/page.tsx,inactive,,
src/app/dashboard/manager-diary/page.tsx,inactive,,
src/app/dashboard/operations/page.tsx,active,operations,
src/app/dashboard/operations/settings/page.tsx,redirect,settings,/dashboard/settings?department=operacional&tab=forms
src/app/dashboard/page.tsx,active,platform-home,
src/app/dashboard/predefined/page.tsx,inactive,,
src/app/dashboard/pricing/competitors/page.tsx,redirect,pricing,/dashboard/pricing/price-comparison
src/app/dashboard/pricing/cost-analysis/page.tsx,active,pricing,
src/app/dashboard/pricing/page.tsx,navigation,pricing,
src/app/dashboard/pricing/price-comparison/page.tsx,active,pricing,
src/app/dashboard/processes/page.tsx,active,termination,
src/app/dashboard/purchasing/costs/page.tsx,active,purchasing,
src/app/dashboard/purchasing/financial/page.tsx,redirect,expenses,/dashboard/financial/expenses?origin=purchasing&status=pending_audit
src/app/dashboard/purchasing/orders/[orderId]/page.tsx,active,purchasing,
src/app/dashboard/purchasing/orders/[orderId]/receipt/page.tsx,active,purchasing,
src/app/dashboard/purchasing/orders/page.tsx,active,purchasing,
src/app/dashboard/purchasing/page.tsx,redirect,purchasing,/dashboard/purchasing/orders
src/app/dashboard/purchasing/quotations/[quotationId]/confirm-purchase/page.tsx,active,purchasing,
src/app/dashboard/purchasing/quotations/[quotationId]/page.tsx,active,purchasing,
src/app/dashboard/purchasing/quotations/compare/page.tsx,active,purchasing,
src/app/dashboard/purchasing/quotations/page.tsx,active,purchasing,
src/app/dashboard/purchasing/receipts/page.tsx,active,purchasing,
src/app/dashboard/registration/base-products/page.tsx,active,registry,
src/app/dashboard/registration/entities/page.tsx,active,registry,
src/app/dashboard/registration/items/page.tsx,active,registry,
src/app/dashboard/registration/page.tsx,navigation,registry,
src/app/dashboard/reports/page.tsx,navigation,stock-analysis,
src/app/dashboard/resignation/page.tsx,active,termination,
src/app/dashboard/rh/config/fields/page.tsx,active,rh-bizneo,
src/app/dashboard/rh/config/roles/page.tsx,active,rh-bizneo,
src/app/dashboard/rh/employees/[bizneo_employee_id]/page.tsx,active,rh-bizneo,
src/app/dashboard/rh/employees/page.tsx,active,rh-bizneo,
src/app/dashboard/rh/me/page.tsx,active,rh-bizneo,
src/app/dashboard/rh/sync/page.tsx,active,rh-bizneo,
src/app/dashboard/settings/page.tsx,active,settings,
src/app/dashboard/settings/pdv-sync/page.tsx,active,pdv-sync,
src/app/dashboard/settings/units/page.tsx,active,settings,
src/app/dashboard/signage/page.tsx,active,signage,
src/app/dashboard/stock/analysis/consumption/page.tsx,active,stock-analysis,
src/app/dashboard/stock/analysis/movement-analysis/page.tsx,active,stock-analysis,
src/app/dashboard/stock/analysis/page.tsx,navigation,stock-analysis,
src/app/dashboard/stock/analysis/projection/page.tsx,active,stock-analysis,
src/app/dashboard/stock/analysis/restock/page.tsx,active,stock-analysis,
src/app/dashboard/stock/analysis/sales/page.tsx,active,stock-analysis,
src/app/dashboard/stock/analysis/valuation/page.tsx,active,stock-analysis,
src/app/dashboard/stock/audit/page.tsx,inactive,,
src/app/dashboard/stock/audit/stock-audit/page.tsx,inactive,,
src/app/dashboard/stock/count/page.tsx,active,stock-count,
src/app/dashboard/stock/inventory-control/page.tsx,active,stock-control,
src/app/dashboard/stock/item-requests/page.tsx,active,stock-requests,
src/app/dashboard/stock/movement-history/page.tsx,inactive,,
src/app/dashboard/stock/page.tsx,navigation,stock-control;stock-count;stock-analysis;purchasing;stock-returns;stock-reposition,
src/app/dashboard/stock/purchasing/history/page.tsx,active,purchasing,
src/app/dashboard/stock/purchasing/page.tsx,navigation,purchasing,
src/app/dashboard/stock/purchasing/sessions/[sessionId]/page.tsx,active,purchasing,
src/app/dashboard/stock/purchasing/sessions/page.tsx,redirect,purchasing,/dashboard/stock/purchasing
src/app/dashboard/stock/purchasing/suggestion/page.tsx,inactive,,
src/app/dashboard/stock/reposition/page.tsx,active,stock-reposition,
src/app/dashboard/stock/returns/page.tsx,active,stock-returns,
src/app/dashboard/stock/transfer/page.tsx,active,stock-control,
src/app/dashboard/stock/uniforms/page.tsx,active,uniforms,
src/app/dashboard/stock/write-down/page.tsx,active,stock-control,
src/app/dashboard/tasks/page.tsx,active,tasks,
src/app/dashboard/team/page.tsx,inactive,,
src/app/dashboard/users/inactive/page.tsx,active,people-access,
src/app/dashboard/users/page.tsx,redirect,people-access,/dashboard/dp/collaborators
